Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Kevin Bordian,Leslie Bory,Paolo Fabrizio,Julian Fantino,Tony Genco,Brian Jedan,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 233","Vaughan",0,0,2,0,72,56,1,0,0,131,338
35096,"Vaughan/Vaughan"," 234","Vaughan",0,7,0,2,83,85,0,2,4,183,431
35096,"Vaughan/Vaughan"," 235","Vaughan",1,2,0,0,65,80,0,3,1,152,354
35096,"Vaughan/Vaughan"," 236","Vaughan",0,3,1,2,104,96,1,0,3,210,573
35096,"Vaughan/Vaughan"," 237","Vaughan",0,2,0,0,65,55,0,0,1,123,358
35096,"Vaughan/Vaughan"," 238","Vaughan",0,1,0,2,68,80,0,4,0,155,365
35096,"Vaughan/Vaughan"," 239","Vaughan",0,0,0,0,70,84,0,0,1,155,431
35096,"Vaughan/Vaughan"," 240","Vaughan",1,0,0,0,24,32,0,0,0,57,320
35096,"Vaughan/Vaughan"," 241","Vaughan",0,2,0,2,42,29,0,4,0,79,393
35096,"Vaughan/Vaughan"," 242","Vaughan",1,0,0,0,32,75,0,1,3,112,433
35096,"Vaughan/Vaughan"," 243","Vaughan",1,4,2,4,82,48,0,3,2,146,544
35096,"Vaughan/Vaughan"," 244","Vaughan",0,3,0,1,25,35,0,1,1,66,403
35096,"Vaughan/Vaughan"," 245","Vaughan",0,1,1,1,60,66,0,2,0,131,405
35096,"Vaughan/Vaughan"," 246","Vaughan",1,0,0,2,64,94,0,3,2,166,471
35096,"Vaughan/Vaughan"," 247","Vaughan",0,3,0,1,62,80,0,1,1,148,447
35096,"Vaughan/Vaughan"," 248","Vaughan",0,4,0,0,47,65,0,2,2,120,386
35096,"Vaughan/Vaughan"," 249","Vaughan",0,5,1,0,85,46,1,1,0,139,521
35096,"Vaughan/Vaughan"," 250","Vaughan",0,3,0,0,45,45,1,1,0,95,249
35096,"Vaughan/Vaughan"," 251","Vaughan",1,0,0,0,56,31,0,0,0,88,316
35096,"Vaughan/Vaughan"," 252","Vaughan",0,2,0,0,63,57,0,1,0,123,566
35096,"Vaughan/Vaughan"," 253","Vaughan",0,1,1,2,53,49,0,1,8,115,244
35096,"Vaughan/Vaughan"," 500","Mobile poll/Bureau itinérant",1,0,1,3,19,5,0,0,1,30,118
35096,"Vaughan/Vaughan"," 501","Mobile poll/Bureau itinérant",0,3,0,3,7,16,0,1,0,30,86
35096,"Vaughan/Vaughan"," 502","Mobile poll/Bureau itinérant",0,0,1,4,49,6,1,0,4,65,138
35096,"Vaughan/Vaughan"," 600","Vaughan",1,2,0,1,242,77,0,2,0,325,
35096,"Vaughan/Vaughan"," 601","Vaughan",3,7,1,6,250,148,1,5,4,425,
35096,"Vaughan/Vaughan"," 602","Vaughan",0,4,1,4,61,442,1,2,0,515,
35096,"Vaughan/Vaughan"," 603","Vaughan",1,8,1,0,101,65,0,0,0,176,
35096,"Vaughan/Vaughan"," 604","Vaughan",2,4,1,6,302,247,0,1,6,569,
35096,"Vaughan/Vaughan"," 605","Vaughan",0,2,0,0,242,130,0,3,0,377,
35096,"Vaughan/Vaughan"," 606","Vaughan",0,3,0,0,127,113,1,2,0,246,
35096,"Vaughan/Vaughan"," 607","Vaughan",0,4,0,3,212,138,0,4,0,361,
35096,"Vaughan/Vaughan"," 608","Vaughan",0,9,1,2,180,177,0,5,1,375,
35096,"Vaughan/Vaughan"," 609","Vaughan",13,0,3,4,226,114,1,1,2,364,
35096,"Vaughan/Vaughan"," 610","Vaughan",0,6,0,0,154,76,0,2,0,238,
35096,"Vaughan/Vaughan"," 611","Vaughan",1,4,0,0,149,77,0,3,1,235,
35096,"Vaughan/Vaughan",,Group 1/Groupe 1,0,0,0,0,2,4,0,1,0,7,40
35096,"Vaughan/Vaughan",,Group 2/Groupe 2,2,6,0,4,166,236,0,5,4,423,
