Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arnold Chan,Kevin Clarke,Trevor Ellis,Elizabeth Ying Long,Shahbaz Mir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 75","Scarborough",62,2,28,9,3,0,104,419
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 76","Scarborough",60,1,23,8,0,0,92,349
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 77","Scarborough",43,0,19,8,0,0,70,317
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 78","Scarborough",48,2,47,0,1,0,98,420
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 79","Scarborough",58,3,30,8,8,1,108,382
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 80","Scarborough",49,4,50,4,1,2,110,416
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81","Scarborough",57,1,16,8,2,0,84,375
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-1","Scarborough",39,0,8,6,0,0,53,466
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-2","Scarborough",32,0,13,3,4,0,52,395
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-3","Scarborough",69,0,26,13,2,2,112,640
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-4","Scarborough",31,0,24,3,0,1,59,318
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 82","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 83","Scarborough",52,0,20,3,4,0,79,324
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 84","Scarborough",60,1,47,13,0,1,122,403
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 85","Scarborough",46,1,22,3,1,0,73,431
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 86","Scarborough",61,1,21,1,2,1,87,444
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 87","Scarborough",52,0,39,13,1,1,106,566
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 88","Scarborough",61,0,22,5,1,0,89,347
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 89","Scarborough",66,0,47,9,3,0,125,446
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 90","Scarborough",48,1,21,6,1,0,77,390
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 91","Scarborough",41,2,24,8,0,2,77,455
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 92","Scarborough",30,0,24,1,1,0,56,436
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 93","Scarborough",15,0,6,9,1,0,31,267
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 94","Scarborough",24,0,20,7,0,0,51,271
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 95","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 96","Scarborough",90,6,96,8,2,0,202,600
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 97","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 98","Scarborough",50,0,21,16,3,2,92,505
