Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Ashmore,John Barlow,Aileen Burke,Dustin Fuller,David Reimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 74","High River",6,34,6,13,4,0,63,357
48020,"Macleod/Macleod"," 75A","High River",0,21,2,4,0,0,27,239
48020,"Macleod/Macleod"," 75B","High River",5,24,0,3,0,0,32,249
48020,"Macleod/Macleod"," 76","High River",7,35,3,11,5,1,62,415
48020,"Macleod/Macleod"," 77","High River",9,53,2,12,2,0,78,474
48020,"Macleod/Macleod"," 78","High River",2,38,1,5,3,1,50,507
48020,"Macleod/Macleod"," 79","High River",6,56,8,17,4,0,91,553
48020,"Macleod/Macleod"," 80","High River",4,49,2,11,5,0,71,379
48020,"Macleod/Macleod"," 81A","High River",Merged with No. 81-1A/Fusionné avec le nº 81-1A,,,,,,,416
48020,"Macleod/Macleod"," 81B","High River",Merged with No. 81-1B/Fusionné avec le nº 81-1B,,,,,,,416
48020,"Macleod/Macleod"," 81-1A","High River",1,46,1,13,3,0,64,41
48020,"Macleod/Macleod"," 81-1B","High River",1,53,2,18,1,0,75,43
48020,"Macleod/Macleod"," 82","High River",6,89,4,16,2,0,117,558
48020,"Macleod/Macleod"," 82-1","High River",Void/Supprimé,,,,,,,
48020,"Macleod/Macleod"," 83","High River",2,38,3,3,2,0,48,280
48020,"Macleod/Macleod"," 84A","Blackie",5,28,2,4,6,0,45,298
48020,"Macleod/Macleod"," 84B","Blackie",4,36,3,6,2,0,51,296
48020,"Macleod/Macleod"," 85A","Cayley",4,52,5,1,4,0,66,333
48020,"Macleod/Macleod"," 85B","Cayley",3,35,2,5,8,0,53,329
48020,"Macleod/Macleod"," 86","Siksika",1,7,7,27,6,1,49,128
48020,"Macleod/Macleod"," 87","Siksika",Merged with No. 86/Fusionné avec le nº 86,,,,,,,1384
48020,"Macleod/Macleod"," 88","Siksika",Merged with No. 86/Fusionné avec le nº 86,,,,,,,147
48020,"Macleod/Macleod"," 89","Siksika",Merged with No. 86/Fusionné avec le nº 86,,,,,,,88
48020,"Macleod/Macleod"," 90","Mossleight",2,24,1,5,2,0,34,214
48020,"Macleod/Macleod"," 91","Arrowwood",2,96,6,5,10,0,119,455
48020,"Macleod/Macleod"," 92","Milo",3,86,3,8,3,0,103,400
48020,"Macleod/Macleod"," 93","Brant",0,25,0,7,5,0,37,336
48020,"Macleod/Macleod"," 94","Vulcan",10,91,3,23,4,0,131,470
48020,"Macleod/Macleod"," 95","Vulcan",3,49,3,19,2,0,76,306
48020,"Macleod/Macleod"," 96","Vulcan",3,81,2,20,4,0,110,470
48020,"Macleod/Macleod"," 97","Vulcan",2,56,1,6,2,0,67,331
48020,"Macleod/Macleod"," 98","Lomond",5,31,1,2,1,0,40,452
48020,"Macleod/Macleod"," 99","Vulcan",6,96,3,20,4,0,129,452
48020,"Macleod/Macleod"," 100A","Champion",0,46,2,3,6,0,57,279
48020,"Macleod/Macleod"," 100B","Champion",4,66,5,3,12,1,91,283
48020,"Macleod/Macleod"," 101","Carmangay",7,57,1,11,5,0,81,404
48020,"Macleod/Macleod"," 101-1","Travers",Void/Supprimé,,,,,,,
48020,"Macleod/Macleod"," 102","Lundbreck",9,45,9,12,0,0,75,350
48020,"Macleod/Macleod"," 103","Crowsnest Pass",3,40,5,7,1,0,56,407
48020,"Macleod/Macleod"," 104","Crowsnest Pass",2,50,4,12,2,2,72,349
48020,"Macleod/Macleod"," 105","Crowsnest Pass",7,38,3,17,6,0,71,343
48020,"Macleod/Macleod"," 106","Crowsnest Pass",6,58,7,15,3,0,89,518
48020,"Macleod/Macleod"," 107","Crowsnest Pass",5,22,1,15,0,0,43,228
48020,"Macleod/Macleod"," 108","Crowsnest Pass",9,39,7,16,6,0,77,330
48020,"Macleod/Macleod"," 109A","Crowsnest Pass",1,30,4,6,2,1,44,219
48020,"Macleod/Macleod"," 109B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,17
48020,"Macleod/Macleod"," 110","Crowsnest Pass",11,50,9,16,0,0,86,482
48020,"Macleod/Macleod"," 111","Crowsnest Pass",2,42,12,12,3,0,71,354
