Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Deheer,Kyle Harrietha,Lori McDaniel,Tim Moen,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 122","Slave Lake",2,8,6,1,20,1,38,314
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 123","Slave Lake",5,18,12,0,24,0,59,426
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 124","Slave Lake",4,8,4,5,38,0,59,367
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 125","Moose Portage",4,11,11,3,70,0,99,86
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 126","Smith",Merged with No. 125/Fusionné avec le nº 125,,,,,,,419
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 127","Flatbush",6,4,8,0,40,0,58,423
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 128","Grosmont",8,22,9,2,82,0,123,594
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 129","Athabasca",9,4,8,2,64,1,88,590
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 130","Athabasca",6,20,17,6,59,0,108,610
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 131","Amber Valley",4,13,13,3,55,0,88,361
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 132","Grassland",2,19,9,2,136,0,168,524
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 133","Baptiste Lake",6,13,8,0,63,0,90,510
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 134","Athabasca",2,16,15,0,19,0,52,309
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 135","Athabasca",3,9,9,4,14,0,39,413
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 136","Athabasca",8,11,14,2,38,0,73,324
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 137A","Athabasca",9,20,13,1,69,0,112,490
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 137B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,8
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 137C","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,6
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 138","Athabasca",Merged with No. 136/Fusionné avec le nº 136,,,,,,,133
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 138-1","Athabasca",4,28,11,3,74,1,121,662
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 139","Athabasca",1,4,11,1,40,0,57,468
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 140","Colinton",0,10,9,5,48,0,72,323
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 141","Colinton",6,16,14,3,24,0,63,286
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 142","Mewatha Beach",2,14,8,0,75,0,99,523
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 143","Boyle",0,6,5,0,20,0,31,133
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 144","Boyle",4,18,15,1,87,0,125,727
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 145","Perryvale",6,8,10,2,55,0,81,443
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 146","Ellscott",2,12,11,0,50,0,75,372
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 147","Rochester",5,24,12,5,47,0,93,379
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 148","Breynat",3,10,9,2,41,0,65,299
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 149","Plamondon",2,26,2,0,70,1,101,755
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 150","Owl River",5,10,0,1,23,0,39,225
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 151","Plamondon",Void/Supprimé,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 152","Plamondon",Void/Supprimé,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 153","Plamondon",Void/Supprimé,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 154","Plamondon",2,7,1,1,24,0,35,184
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 155","Lac La Biche Mission",8,13,6,1,46,0,74,520
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 156","Lac La Biche",4,11,2,1,20,1,39,268
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 157","Lac La Biche",9,15,5,2,23,0,54,373
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 158","Lac La Biche",2,19,9,0,28,0,58,256
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 159","Lac La Biche",9,7,4,4,21,0,45,279
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 160","Lac La Biche",1,30,9,5,27,0,72,454
