Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Dorian Baxter,Leslie Bory,Kevin Clarke,John Deverell,Judi Falardeau,Chrystia Freeland,Linda McQuaig,Michael Nicula,Geoff Pollock,"John ""The Engineer"" Turmel",Bahman Yazdanfar,Rejected Ballots,Total Votes,Electors
35093,Toronto Centre, 111A,Toronto,0,1,0,4,0,67,37,0,8,0,0,1,118,576
35093,Toronto Centre, 111B,Toronto,2,1,1,6,0,51,35,0,7,0,0,1,104,539
35093,Toronto Centre,112,Toronto,Merged with No. 117B,,,,,,,,,,,,,152
35093,Toronto Centre,113,Toronto,1,1,0,6,1,71,70,0,5,0,0,1,156,371
35093,Toronto Centre,114,Toronto,1,0,0,11,0,76,107,0,7,1,0,0,203,399
35093,Toronto Centre,115,Toronto,1,0,0,6,2,124,95,1,6,0,0,1,236,461
35093,Toronto Centre,116,Toronto,1,1,0,1,3,90,64,1,1,1,0,1,164,576
35093,Toronto Centre, 117A,Toronto,2,1,0,7,3,88,83,1,2,0,1,0,188,473
35093,Toronto Centre, 117B,Toronto,3,0,0,2,1,56,36,2,0,0,0,1,101,298
35093,Toronto Centre,118,Toronto,3,0,3,1,6,69,63,2,3,0,0,1,151,463
35093,Toronto Centre,119,Toronto,0,0,0,1,1,59,53,1,1,0,0,0,116,649
35093,Toronto Centre,120,Toronto,2,1,0,5,2,70,48,0,6,0,0,0,134,401
35093,Toronto Centre,121,Toronto,2,0,0,5,0,71,75,0,16,1,0,0,170,624
35093,Toronto Centre,122,Toronto,0,0,1,3,1,57,47,0,4,0,1,1,115,417
35093,Toronto Centre,123,Toronto,1,0,0,5,0,55,54,0,0,0,0,0,115,517
35093,Toronto Centre,124,Toronto,2,1,1,3,4,51,38,0,2,0,0,1,103,471
35093,Toronto Centre,125,Toronto,Merged with No. 489,,,,,,,,,,,,,166
35093,Toronto Centre,126,Toronto,0,0,0,3,2,27,84,0,3,1,0,0,120,262
35093,Toronto Centre,127,Toronto,2,1,0,11,1,87,64,1,19,0,0,0,186,606
35093,Toronto Centre, 128A,Toronto,1,0,0,2,0,51,20,0,10,0,0,1,85,386
35093,Toronto Centre, 128B,Toronto,1,1,0,2,0,54,33,0,15,0,0,1,107,440
35093,Toronto Centre, 128C,Toronto,1,0,0,5,2,63,45,0,6,0,0,0,122,474
35093,Toronto Centre, 128-1,Toronto,No poll held,,,,,,,,,,,,,0
35093,Toronto Centre,129,Toronto,0,0,0,1,1,22,43,0,2,0,0,0,69,209
35093,Toronto Centre,130,Toronto,0,2,0,0,0,18,29,0,3,0,0,1,53,298
35093,Toronto Centre,131,Toronto,3,0,0,2,4,59,51,1,5,0,0,0,125,429
35093,Toronto Centre,132,Toronto,1,0,0,6,0,34,54,0,5,0,0,0,100,422
35093,Toronto Centre, 132-1,Toronto,0,0,0,2,0,13,33,0,1,0,0,0,49,179
35093,Toronto Centre,133,Toronto,1,0,0,3,0,17,21,0,1,0,0,0,43,221
35093,Toronto Centre, 133-1,Toronto,Merged with No. 494,,,,,,,,,,,,,114
35093,Toronto Centre,134,Toronto,Merged with No. 129,,,,,,,,,,,,,107
35093,Toronto Centre, 134-1,Toronto,0,0,0,2,1,24,26,0,0,0,0,1,54,216
35093,Toronto Centre,135,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,136,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,137,Toronto,0,1,0,10,2,77,104,0,3,0,0,3,200,416
35093,Toronto Centre,138,Toronto,2,1,1,7,3,50,74,0,16,2,0,0,156,460
35093,Toronto Centre, 138-1,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,139,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre, 140A,Toronto,1,0,0,4,0,44,26,0,7,0,0,0,82,374
35093,Toronto Centre, 140B,Toronto,0,0,0,9,0,38,32,0,1,0,0,0,80,411
35093,Toronto Centre, 140C,Toronto,0,0,0,5,1,36,19,0,5,0,0,0,66,401
35093,Toronto Centre,141,Toronto,3,1,0,4,0,106,82,1,11,2,0,0,210,660
35093,Toronto Centre,400,Toronto,3,0,0,17,1,104,55,0,29,1,0,0,210,302
