Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Virginia Ervin,Grant Humes,Andrew Moriarity,Michael Nicula,Larry O'Connor,Erin O'Toole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 18","Uxbridge",11,29,0,0,27,56,0,123,437
35014,"Durham/Durham"," 19","Uxbridge",5,23,0,0,30,65,1,124,342
35014,"Durham/Durham"," 20","Uxbridge",4,40,0,0,22,53,0,119,355
35014,"Durham/Durham"," 21","Uxbridge",4,28,0,0,36,53,0,121,429
35014,"Durham/Durham"," 22","Uxbridge",9,16,2,0,25,17,1,70,301
35014,"Durham/Durham"," 23","Uxbridge",10,35,0,1,22,51,0,119,369
35014,"Durham/Durham"," 24","Uxbridge",13,29,1,1,39,86,1,170,496
35014,"Durham/Durham"," 25","Uxbridge",10,26,2,1,20,68,0,127,454
35014,"Durham/Durham"," 25-1","Uxbridge",5,33,3,1,24,66,0,132,357
35014,"Durham/Durham"," 25-2","Uxbridge",4,42,0,0,30,77,1,154,491
35014,"Durham/Durham"," 26","Uxbridge",3,20,0,0,11,36,1,71,352
35014,"Durham/Durham"," 27","Uxbridge",6,32,0,1,26,68,0,133,487
35014,"Durham/Durham"," 27-1","Uxbridge",3,9,1,0,13,49,0,75,366
35014,"Durham/Durham"," 28","Uxbridge",4,25,1,0,22,54,0,106,413
35014,"Durham/Durham"," 29","Uxbridge",6,19,4,2,19,42,2,94,399
35014,"Durham/Durham"," 30","Uxbridge",12,23,0,0,38,60,0,133,444
35014,"Durham/Durham"," 31","Scugog",8,30,3,1,48,104,0,194,518
35014,"Durham/Durham"," 32","Scugog",8,26,2,1,34,88,0,159,467
35014,"Durham/Durham"," 33","Scugog",3,19,3,0,22,64,1,112,497
35014,"Durham/Durham"," 34","Scugog",6,38,0,0,43,84,0,171,458
35014,"Durham/Durham"," 35","Scugog",4,30,0,0,21,57,1,113,367
35014,"Durham/Durham"," 36","Scugog",4,31,2,1,26,72,1,137,414
35014,"Durham/Durham"," 37","Scugog",8,20,1,0,9,39,0,77,295
35014,"Durham/Durham"," 37-1","Scugog",1,17,0,0,33,63,0,114,386
35014,"Durham/Durham"," 38","Scugog",5,41,3,1,31,63,0,144,464
35014,"Durham/Durham"," 39","Scugog",2,31,1,0,26,53,1,114,456
35014,"Durham/Durham"," 40","Scugog",5,24,0,1,42,77,2,151,365
35014,"Durham/Durham"," 41","Scugog",3,26,2,2,22,72,0,127,318
35014,"Durham/Durham"," 41-1","Scugog",6,24,3,0,29,58,0,120,321
35014,"Durham/Durham"," 42","Scugog",8,27,2,2,30,86,2,157,444
35014,"Durham/Durham"," 42-1","Scugog",4,24,3,1,22,50,0,104,318
35014,"Durham/Durham"," 43","Scugog",1,28,5,0,55,70,0,159,450
35014,"Durham/Durham"," 44","Scugog",5,33,2,0,43,95,0,178,484
35014,"Durham/Durham"," 45","Scugog",4,27,2,0,22,69,1,125,447
