Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Dookeran","","Nira","Green Party","Parti Vert",N,N,2
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Fortier","","Mona","Liberal","Libéral",N,Y,81
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,42
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,56
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,4
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 13","Gloucester",N,N,"",2,449,"Wilson","","Damien","Libertarian","Libertarien",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Dookeran","","Nira","Green Party","Parti Vert",N,N,2
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Fortier","","Mona","Liberal","Libéral",N,Y,51
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,35
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,20
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,3
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 14","Gloucester",N,N,"",0,576,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Dookeran","","Nira","Green Party","Parti Vert",N,N,7
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Fortier","","Mona","Liberal","Libéral",N,Y,82
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,32
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,46
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,2
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 15","Gloucester",N,N,"",0,387,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Dookeran","","Nira","Green Party","Parti Vert",N,N,6
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Fortier","","Mona","Liberal","Libéral",N,Y,48
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,34
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,57
