Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Dilworth,Fin Donnelly,Rebecca Helps,Ken Beck Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,42,Coquitlam,52,19,1,12,0,84,422
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,43,Coquitlam,3,7,1,0,0,11,116
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,44,Coquitlam,38,30,8,17,0,93,382
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,45,Coquitlam,42,47,1,14,0,104,415
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,46,Coquitlam,42,37,1,12,0,92,330
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,47,Coquitlam,56,55,3,22,0,136,460
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,48,Coquitlam,47,83,2,10,1,143,511
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,49,Coquitlam,40,50,2,13,1,106,344
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,50,Coquitlam,53,89,5,14,0,161,456
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,51,Coquitlam,28,75,4,8,0,115,437
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 52A,Coquitlam,39,53,2,9,0,103,424
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 52B,Mobile poll/Bureau itinérant,Merged with No. 501A/Fusionné avec le nº 501A,,,,,,102
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,53,Coquitlam,33,59,9,3,0,104,341
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,54,Coquitlam,41,55,3,5,0,104,340
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,55,Coquitlam,36,56,1,14,0,107,421
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,56,Coquitlam,45,69,8,3,0,125,378
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,57,Coquitlam,34,49,6,8,0,97,401
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,58,Coquitlam,73,72,2,3,0,150,405
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,59,Coquitlam,77,42,4,20,0,143,442
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,60,Coquitlam,50,57,5,19,0,131,413
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,61,Coquitlam,60,78,10,14,0,162,459
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,62,Coquitlam,47,56,4,11,1,119,344
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,63,Coquitlam,51,59,4,13,0,127,480
