Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Leslie Bory,Grant Gordon,Brian Jedan,Andrew Keyes,Adriana Mugnatto-Hamu,Christopher Robert Porter,John Christopher Recker,Craig Scott,John C. Turmel,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 58","Toronto",1,0,77,0,6,6,0,1,73,0,0,1,165,370
35094,"Toronto--Danforth/Toronto--Danforth"," 59","Toronto",1,0,37,0,9,10,0,1,87,0,0,1,146,323
35094,"Toronto--Danforth/Toronto--Danforth"," 60","Toronto",1,0,66,1,2,12,0,0,88,0,0,0,170,388
35094,"Toronto--Danforth/Toronto--Danforth"," 61","Toronto",0,3,75,0,3,4,0,0,76,1,0,0,162,300
35094,"Toronto--Danforth/Toronto--Danforth"," 62","Toronto",3,2,80,0,5,13,1,0,107,0,0,1,212,462
35094,"Toronto--Danforth/Toronto--Danforth"," 63","Toronto",2,0,91,0,3,4,0,0,67,0,0,1,168,379
35094,"Toronto--Danforth/Toronto--Danforth"," 64","Toronto",2,0,28,0,5,2,0,0,72,0,0,0,109,370
35094,"Toronto--Danforth/Toronto--Danforth"," 65","Toronto",3,0,42,0,6,6,0,1,88,0,0,0,146,384
35094,"Toronto--Danforth/Toronto--Danforth"," 66","Toronto",1,0,32,0,6,6,0,0,58,0,0,0,103,358
35094,"Toronto--Danforth/Toronto--Danforth"," 67","Toronto",2,1,38,1,7,6,0,0,89,0,1,0,145,500
35094,"Toronto--Danforth/Toronto--Danforth"," 68","Toronto",0,0,44,0,5,0,0,2,45,1,0,1,98,216
35094,"Toronto--Danforth/Toronto--Danforth"," 69","Toronto",0,0,59,0,2,7,0,0,97,0,0,0,165,447
35094,"Toronto--Danforth/Toronto--Danforth"," 70","Toronto",0,0,53,0,0,11,0,0,52,0,0,0,116,336
35094,"Toronto--Danforth/Toronto--Danforth"," 71","Toronto",2,0,33,0,9,12,0,0,132,0,0,0,188,313
35094,"Toronto--Danforth/Toronto--Danforth"," 72","Toronto",0,0,46,0,8,9,0,1,116,1,0,0,181,320
35094,"Toronto--Danforth/Toronto--Danforth"," 73","Toronto",0,0,53,0,4,7,1,0,62,0,0,1,128,314
35094,"Toronto--Danforth/Toronto--Danforth"," 74","Toronto",1,0,88,1,6,10,0,0,87,0,0,1,194,445
35094,"Toronto--Danforth/Toronto--Danforth"," 75","Toronto",0,4,106,0,11,6,0,1,113,0,0,0,241,474
35094,"Toronto--Danforth/Toronto--Danforth"," 76","Toronto",0,0,88,0,1,15,0,2,89,0,1,2,198,413
35094,"Toronto--Danforth/Toronto--Danforth"," 77","Toronto",0,0,45,0,13,1,0,1,64,0,0,1,125,329
35094,"Toronto--Danforth/Toronto--Danforth"," 78","Toronto",0,0,53,0,4,13,0,0,68,0,0,0,138,339
35094,"Toronto--Danforth/Toronto--Danforth"," 79","Toronto",0,1,42,0,4,5,0,3,60,1,0,1,117,313
35094,"Toronto--Danforth/Toronto--Danforth"," 80","Toronto",3,0,51,0,28,6,1,0,77,1,0,1,168,385
35094,"Toronto--Danforth/Toronto--Danforth"," 81","Toronto",0,1,31,0,4,14,1,2,98,0,0,0,151,426
35094,"Toronto--Danforth/Toronto--Danforth"," 82","Toronto",1,1,41,1,6,9,0,1,65,2,0,0,127,300
35094,"Toronto--Danforth/Toronto--Danforth"," 83","Toronto",0,0,46,0,5,7,1,1,61,0,0,0,121,314
35094,"Toronto--Danforth/Toronto--Danforth"," 84","Toronto",1,0,55,0,9,16,0,0,127,0,0,0,208,441
35094,"Toronto--Danforth/Toronto--Danforth"," 85","Toronto",2,3,51,1,7,2,0,1,85,1,2,1,156,364
35094,"Toronto--Danforth/Toronto--Danforth"," 86","Toronto",1,0,46,0,13,11,0,0,109,1,0,1,182,502
35094,"Toronto--Danforth/Toronto--Danforth"," 87","Toronto",2,0,40,0,3,16,0,0,73,0,0,2,136,354
35094,"Toronto--Danforth/Toronto--Danforth"," 88","Toronto",1,0,75,0,9,9,0,2,88,1,0,0,185,416
35094,"Toronto--Danforth/Toronto--Danforth"," 89","Toronto",3,0,74,0,10,7,0,0,106,0,0,1,201,477
35094,"Toronto--Danforth/Toronto--Danforth"," 90","Toronto",0,0,52,0,7,5,2,0,75,0,0,0,141,354
35094,"Toronto--Danforth/Toronto--Danforth"," 91","Toronto",0,0,44,0,3,7,3,1,73,1,0,4,136,373
35094,"Toronto--Danforth/Toronto--Danforth"," 92","Toronto",0,0,26,1,9,4,0,4,129,1,2,3,179,498
35094,"Toronto--Danforth/Toronto--Danforth"," 93","Toronto",0,0,37,1,4,6,0,1,73,0,1,0,123,408
35094,"Toronto--Danforth/Toronto--Danforth"," 94","Toronto",0,0,44,1,5,4,0,1,81,0,0,0,136,428
35094,"Toronto--Danforth/Toronto--Danforth"," 95","Toronto",5,0,58,1,8,6,1,1,144,1,0,3,228,486
35094,"Toronto--Danforth/Toronto--Danforth"," 96","Toronto",0,2,21,1,2,0,0,1,108,0,1,0,136,438
35094,"Toronto--Danforth/Toronto--Danforth"," 97","Toronto",0,0,49,1,2,6,0,2,108,3,0,2,173,360
35094,"Toronto--Danforth/Toronto--Danforth"," 98","Toronto",1,1,45,1,6,10,2,0,108,0,0,0,174,441
35094,"Toronto--Danforth/Toronto--Danforth"," 99","Toronto",1,1,65,1,11,17,0,0,108,0,0,1,205,484
35094,"Toronto--Danforth/Toronto--Danforth"," 100","Toronto",0,1,33,0,11,18,3,0,86,0,0,4,156,459
35094,"Toronto--Danforth/Toronto--Danforth"," 101","Toronto",0,1,39,1,2,12,0,0,73,1,0,1,130,393
35094,"Toronto--Danforth/Toronto--Danforth"," 102","Toronto",1,0,39,3,6,9,1,1,82,1,1,0,144,482
35094,"Toronto--Danforth/Toronto--Danforth"," 103","Toronto",3,3,46,1,23,5,2,4,152,2,2,4,247,531
35094,"Toronto--Danforth/Toronto--Danforth"," 104","Toronto",1,1,52,0,7,6,0,1,122,0,2,1,193,599
35094,"Toronto--Danforth/Toronto--Danforth"," 105","Toronto",0,0,41,0,4,8,0,1,107,1,0,1,163,445
35094,"Toronto--Danforth/Toronto--Danforth"," 106","Toronto",1,0,59,0,6,15,0,1,122,0,0,0,204,497
35094,"Toronto--Danforth/Toronto--Danforth"," 107","Toronto",0,0,39,0,1,11,1,1,85,0,0,1,139,372
35094,"Toronto--Danforth/Toronto--Danforth"," 108","Toronto",0,0,35,0,3,11,0,0,68,0,0,0,117,360
35094,"Toronto--Danforth/Toronto--Danforth"," 109","Toronto",0,0,58,1,6,7,0,1,101,0,0,0,174,345
35094,"Toronto--Danforth/Toronto--Danforth"," 110","Toronto",1,0,31,0,3,6,2,0,75,0,0,2,120,370
35094,"Toronto--Danforth/Toronto--Danforth"," 111","Toronto",0,0,42,0,5,4,0,1,63,0,0,0,115,292
35094,"Toronto--Danforth/Toronto--Danforth"," 112","Toronto",7,1,36,0,24,11,3,0,125,1,1,1,210,365
35094,"Toronto--Danforth/Toronto--Danforth"," 113","Toronto",0,0,50,1,5,9,0,1,120,0,0,1,187,501
35094,"Toronto--Danforth/Toronto--Danforth"," 114","Toronto",0,0,32,0,4,2,0,0,64,0,0,0,102,233
35094,"Toronto--Danforth/Toronto--Danforth"," 115","Toronto",1,0,43,0,13,12,0,3,143,0,0,1,216,518
35094,"Toronto--Danforth/Toronto--Danforth"," 116","Toronto",0,0,27,0,7,7,0,1,86,1,0,0,129,268
35094,"Toronto--Danforth/Toronto--Danforth"," 117","Toronto",0,0,28,0,7,23,0,1,188,0,1,0,248,398
35094,"Toronto--Danforth/Toronto--Danforth"," 118","Toronto",1,0,80,0,12,14,0,0,99,0,0,1,207,393
35094,"Toronto--Danforth/Toronto--Danforth"," 119","Toronto",1,0,72,0,11,13,0,0,93,0,0,2,192,419
35094,"Toronto--Danforth/Toronto--Danforth"," 120","Toronto",0,0,70,0,8,13,0,0,76,1,2,0,170,429
35094,"Toronto--Danforth/Toronto--Danforth"," 121","Toronto",1,0,83,0,6,7,0,0,65,0,0,2,164,384
35094,"Toronto--Danforth/Toronto--Danforth"," 122","Toronto",1,0,61,0,4,13,0,0,101,0,0,1,181,483
35094,"Toronto--Danforth/Toronto--Danforth"," 123","Toronto",0,0,30,0,2,6,0,0,63,0,0,0,101,301
35094,"Toronto--Danforth/Toronto--Danforth"," 124","Toronto",0,0,90,0,7,7,0,0,81,0,0,0,185,407
35094,"Toronto--Danforth/Toronto--Danforth"," 125","Toronto",1,0,40,0,5,2,1,2,76,0,0,0,127,442
35094,"Toronto--Danforth/Toronto--Danforth"," 126","Toronto",1,2,55,0,10,12,1,0,92,1,0,0,174,574
35094,"Toronto--Danforth/Toronto--Danforth"," 127","Toronto",3,1,78,1,6,6,1,1,125,0,0,0,222,448
35094,"Toronto--Danforth/Toronto--Danforth"," 128","Toronto",0,0,40,0,8,2,0,0,65,0,0,0,115,317
35094,"Toronto--Danforth/Toronto--Danforth"," 129","Toronto",1,0,34,1,7,14,0,1,115,0,0,0,173,508
35094,"Toronto--Danforth/Toronto--Danforth"," 130","Toronto",0,0,17,0,3,2,1,0,118,2,0,3,146,511
35094,"Toronto--Danforth/Toronto--Danforth"," 131","Toronto",0,0,44,0,5,14,0,0,102,0,0,0,165,420
35094,"Toronto--Danforth/Toronto--Danforth"," 132","Toronto",2,1,30,0,6,2,0,1,126,0,0,0,168,695
35094,"Toronto--Danforth/Toronto--Danforth"," 133","Toronto",0,1,28,1,3,4,0,0,95,0,0,2,134,342
35094,"Toronto--Danforth/Toronto--Danforth"," 134","Toronto",1,0,27,0,3,9,0,3,113,1,0,2,159,451
35094,"Toronto--Danforth/Toronto--Danforth"," 135","Toronto",0,0,53,0,2,6,0,0,96,0,0,1,158,433
35094,"Toronto--Danforth/Toronto--Danforth"," 136","Toronto",0,0,20,0,4,7,0,0,75,0,0,0,106,394
35094,"Toronto--Danforth/Toronto--Danforth"," 136-1","Toronto",0,1,17,0,7,3,0,0,30,0,0,0,58,294
35094,"Toronto--Danforth/Toronto--Danforth"," 137","Toronto",0,2,15,0,5,4,0,1,78,0,0,1,106,483
35094,"Toronto--Danforth/Toronto--Danforth"," 138","Toronto",0,0,26,0,2,2,0,0,49,0,0,0,79,433
35094,"Toronto--Danforth/Toronto--Danforth"," 139","Toronto",0,0,40,0,8,4,0,0,80,1,0,0,133,488
35094,"Toronto--Danforth/Toronto--Danforth"," 140","Toronto",0,0,44,0,5,5,0,0,72,0,0,0,126,525
35094,"Toronto--Danforth/Toronto--Danforth"," 141","Toronto",2,0,26,2,4,10,1,0,72,0,0,1,118,448
35094,"Toronto--Danforth/Toronto--Danforth"," 142","Toronto",0,0,36,1,6,6,1,1,94,0,0,0,145,320
35094,"Toronto--Danforth/Toronto--Danforth"," 143","Toronto",1,0,27,0,2,9,1,0,108,1,0,0,149,529
35094,"Toronto--Danforth/Toronto--Danforth"," 144","Toronto",1,0,69,0,1,7,0,2,110,1,0,0,191,541
35094,"Toronto--Danforth/Toronto--Danforth"," 145","Toronto",1,0,59,0,5,21,0,1,87,1,0,1,176,396
35094,"Toronto--Danforth/Toronto--Danforth"," 146","Toronto",3,0,50,0,17,14,1,1,176,0,0,3,265,546
35094,"Toronto--Danforth/Toronto--Danforth"," 147","Toronto",0,0,47,0,2,1,0,1,66,0,1,2,120,373
35094,"Toronto--Danforth/Toronto--Danforth"," 147-1","Toronto",0,0,60,0,5,13,0,2,109,0,0,0,189,659
35094,"Toronto--Danforth/Toronto--Danforth"," 147-2","Toronto",1,0,39,0,8,3,0,0,47,0,0,0,98,283
